Dato,Status,Rating,Positive Kommentarer,Kritikpunkter
8. oktober 2024,Nuværende medarbejder,3,Gode kollegaer; Spændende arbejde; Gode udviklingsmuligheder,Micro management; Sladderkultur blandt ledere; Ansatte ses på som brikker; Ingen indflydelse på beslutninger; Den sorte bog findes
5. oktober 2024,Nuværende medarbejder,3,Den har et godt ry,Dårlig ledelse; Ingen work/life balance; Psykologisk utryg; Ingen tager ansvar for trivsel; Ingen strategisk retning; Stor udskiftning og manglende gennemsigtighed
24. september 2024,Nuværende medarbejder,1,Mange muligheder; Stort fokus på trivsel,Stor skude at vende ift. strategisk retning
14. september 2024,Nuværende medarbejder,5,Fantastisk at arbejde i så succesfuld virksomhed; Gode karrieremuligheder; Spændende events,Novo Nordisk er blevet for stor; Bureaukratiet kender ingen grænser; Der tales om cLean
31. juli 2024,Tidligere medarbejder,3,Gode arbejdsomme kollegaer; Spændende opgaver og ansvar,Amerikaniseret; Dårlig ledelse; Micro management; Bureaukrati; Lønnen lever ikke op til ansvaret; Ufleksibilitet; Fokus på at sige ja
15. juni 2024,Nuværende medarbejder,2,Dygtige og søde medarbejdere; Spændende opgaver; Ret ok GMP, velbeskrevet; God balance mellem fritid og arbejde
14. juni 2024,Tidligere medarbejder,3,Man kan lande i gode afdelinger, så er arbejdet ret ok.
14. juni 2024,Tidligere medarbejder,3,God ledelse; Gode værdier; Purpose; Masser af tillid; Oplæring og tid; Mulighed for at prøve ting af,Stor organisation; Tager lang tid at lære tingene at kende; Regler og procedurer for stort set alting
5. juni 2024,Nuværende medarbejder,5,Lot of job opportunities,Salary is lower compare to the other companies in the same industry area
13. marts 2024,Nuværende medarbejder,5,Mange dygtige medarbejdere; Super produkter; Stor hjælpsomhed; Gode personaleforhold; Gode karrieremuligheder,Topstyret virksomhed; Micromanagement i produktion; Teamledere uden indsigt i mennesker; Ingen indflydelse på mål og opgaver; Ledere kigger kun på egne muligheder
18. januar 2024,Nuværende medarbejder,3,Rigelige investeringer i udstyr, laboratorier mv; God bonusordning; Fantastisk sommerfest
28. december 2023,Nuværende medarbejder,2,Fast arbejde,Ensformigt arbejde; Gentagende analyser
11. november 2023,Nuværende medarbejder,2,God løn,Nul oplæring; Ingen struktur og orden; Rent kaos; Brandslukning; Halve tid til opgaver; Ligeglade ansatte; Manglende samarbejde
30. oktober 2023,Nuværende medarbejder,1,Gode kollegaer; Fryns; Pension og løn,Imponerende dårlig ledelse; Bagtalelse af kollegaer; Ville aldrig anbefale NN
3. marts 2023,Tidligere medarbejder,2,Mange dygtige og engagerede medarbejdere; Gode personaleklubber,"Ufattelig dårlig ledelse; ""Management by fear""; Teamledere uden forstand på ledelse"
8. januar 2023,Nuværende medarbejder,2,Man får løn (endnu); Rigtigt gode produkter,Meget politisk organisation; Lavt placerede ledere kan forfølge og fyre gode medarbejdere; Topledelsen er usynlig; Medarbejdertrivsel synes ligegyldig; Udviklings- og karrieremuligheder afhængig af nærmeste chef
5. januar 2023,Nuværende medarbejder,1,Super løn og pension; Styr på det ansættelsesmæssige; Høj jobsikkerhed,Ledelsen har fået for lang afstand til medarbejderne; Mange der kun er der pga. hyren; Lønnumer-administratorer; Nærværende ledelse er på vej ud; Respekten er lille; Inkompetente beslutninger; Ikke så grøn som de påstår; Tys-tys kultur
9. marts 2022,Nuværende medarbejder,2,Friendly team mates and employees you work with,Poor management
9. december 2021,Nuværende medarbejder,3,God virksomhed trives der er et godt miljø gode kollegaer,God virksomhed trives der er et godt miljø gode kollegaer
29. oktober 2021,Nuværende medarbejder,5,Novo har en klar mission; Tager ansvar for patienternes liv; Fokus på patienten og dens sikkerhed; Mulighed for at drive det langt,Politisk organisation; Karrieremulighed afhængig af lederens ambition; HR er ledelsens organ; People-relaterede processer er blot papirøvelser
6. oktober 2021,Nuværende medarbejder,3,Spændende science!; Yderst kompetente kolleger!; Fantastisk dyrevelfærd!,I så stort et firma bliver man hurtigt bare en brik i et større puslespil
24. juni 2021,Tidligere medarbejder,5,God løn; Meget fryns; God pension; Højt fagligt niveau,Stærkt konkurrencepræget
31. marts 2021,Tidligere medarbejder,4,Gode kollegaer; Højt lønniveau; Relativt nemt at avancere; Nyeste udstyr; Ingen ærefrygt for topledelsen,Psykiske arbejdsvilkår ikke særlige gode; Opfattelse af freelancere som privilegerede; Intet ansvar for freelancere der går ned med stress; Tvunget til at registrere sig med CVR-nummer
19. marts 2021,Tidligere medarbejder,2,Good management, and good environment at work place.
7. marts 2021,Nuværende medarbejder,4, ,2020.Der er desværre utrolig mange dårlige leder. Fået bekræftet af ret mange tidligere Novo ansatte
20. februar 2021,Tidligere medarbejder,4,Flotte kontorer; God reputation; God kantine,Dårligt management på afdelingsniveau; Selvfedme; Meget pseudorarbejde; Meningsløst buzzwordsarbejde; Årlige omstruktureringer; For stor og bureaukratisk
25. december 2020,Tidligere medarbejder,2,En fantastisk arbejdsplads med god ledelse og kolleger, samt gode udviklingsmuligheder.
26. november 2020,Tidligere medarbejder,5,Der er gode imødekommende dygtige kollegaer som gerne deler deres viden. Dem bedste arbejdsplads jeg har været på.,N/A
5. november 2020,Tidligere medarbejder,5, ,Dårlig indeklima (Der er meget talen bag ens ryg
4. juni 2020,Tidligere medarbejder,3,Fantastic life saving products; Some of the colleagues are great and passionate about what they do; A few managers try their best to be a great manager; Access to a lot of paid courses and seminars; Some departments are supposedly fantastic work places.,Salary is very low; Most mngsr want the job because it pays more; My mngr doesn’t even know where I sit; All focus is on saying yes
